GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0001666	11	225.0	0.03563101315796982	260.0	0.19727990010287658
GO:0001676	4	52.0	0.9961012865751566	20.0	0.06302333118791523
GO:0001704	3	4.0	0.005483653277737073	18.0	0.6734554176570715
GO:0001726	5	19.0	9.800823918495554E-4	53.0	0.5043702825277193
GO:0001738	3	7.0	0.029419016654363854	12.0	0.2049491548637462
GO:0001775	26	1778.0	0.650307092316188	1786.0	0.6732765189287058
GO:0001816	4	42.0	0.9118258748367232	42.0	0.9118258748367232
GO:0001817	7	99.0	0.2564132710757499	103.0	0.330614128452776
GO:0001818	5	41.0	0.1388238442202108	65.0	0.8659666622710136
GO:0001819	5	55.0	0.5768012259986843	61.0	0.7709571093255594
GO:0001822	3	12.0	0.2049491548637462	20.0	0.8088205323061611
GO:0001838	3	7.0	0.029419016654363854	20.0	0.8088205323061611
GO:0001841	3	7.0	0.029419016654363854	16.0	0.510033481788937
GO:0001882	14	271.0	2.6962130551665995E-5	405.0	0.0694491171001077
GO:0001883	13	194.0	1.4480601032142978E-6	324.0	0.028509918202008766
GO:0001889	4	28.0	0.3149684288245026	24.0	0.1572496544953231
GO:0001932	18	543.0	1.7878506364301503E-4	876.0	0.801835953371296
GO:0001933	6	35.0	0.0012328908591573505	79.0	0.4930240941476402
GO:0001934	12	226.0	0.001565558412158655	350.0	0.5055288369203859
GO:0001944	4	23.0	0.12780398353791242	17.0	0.02723999000694707
GO:0002009	7	49.0	3.9360391718364535E-4	101.0	0.29241941369295177
GO:0002020	3	18.0	0.6734554176570715	14.0	0.3448186521234654
GO:0002028	3	11.0	0.14996743553214986	21.0	0.8611386820779643
GO:0002064	3	6.0	0.017663661769845344	21.0	0.8611386820779643
GO:0002218	3	11.0	0.14996743553214986	9.0	0.07185340703421195
GO:0002237	4	32.0	0.5168213003721176	28.0	0.3149684288245026
GO:0002252	24	1513.0	0.6550064904191248	1568.0	0.811165453703989
GO:0002253	4	40.0	0.862169673729559	32.0	0.5168213003721176
GO:0002263	22	1238.0	0.5410444090485147	1111.0	0.12287545187299814
GO:0002274	21	1101.0	0.43670720391699314	991.0	0.09240108333926578
GO:0002275	20	986.0	0.39712312456562665	909.0	0.12816616494655148
GO:0002283	20	986.0	0.39712312456562665	908.0	0.12580301820548329
GO:0002366	22	1238.0	0.5410444090485147	1074.0	0.06314153108898096
GO:0002376	36	3448.0	0.6657021999932115	3132.0	0.12209334936141691
GO:0002443	21	1115.0	0.49568256953561346	1060.0	0.27618330267519153
GO:0002444	20	986.0	0.39712312456562665	958.0	0.28138614767885534
GO:0002446	20	986.0	0.39712312456562665	1025.0	0.572219476773639
GO:0002478	3	5.0	0.010116491878262655	11.0	0.14996743553214986
GO:0002495	3	5.0	0.010116491878262655	17.0	0.5938024080403933
GO:0002504	3	5.0	0.010116491878262655	6.0	0.017663661769845344
GO:0002520	5	45.0	0.23573361726507117	56.0	0.6122154309364689
GO:0002521	3	6.0	0.017663661769845344	13.0	0.2703766711819732
GO:0002682	16	668.0	0.6902192584714568	685.0	0.7772508746524834
GO:0002683	3	14.0	0.3448186521234654	10.0	0.10579091461789708
GO:0002684	12	384.0	0.7961028841153566	369.0	0.6803572938923346
GO:0002685	4	25.0	0.19083566892832424	29.0	0.3628630955957633
GO:0002687	3	10.0	0.10579091461789708	18.0	0.6734554176570715
GO:0002694	7	109.0	0.454666160081036	63.0	0.004654856735608437
GO:0002696	5	52.0	0.4679491693276495	48.0	0.32781653222027785
GO:0002697	4	44.0	0.9467394451314279	28.0	0.3149684288245026
